"OrderID","ReversalID","RefundCompletionDate","Currency","AmountRefunded","Status","DisbursementType"
"026-7520712-3473133","H2tkziIkS52BE8sjMBaBLg","2025-08-12T22:09:43.797Z","GBP","307.19","Completed","Refund"
"026-1418210-8286760","owf4cvf2QOiQLsmCk3UXNA","2025-06-05T15:08:04.653Z","GBP","168.4","Completed","Refund"
"204-6244119-2792317","pWkuKrHQRX6XppfhZsQpjQ","2025-06-02T14:48:33.468Z","GBP","40.01","Completed","Refund"
"204-3702493-8442719","vU+2BcssRF+D07arE6aFlQ","2025-05-30T10:08:49.023Z","GBP","13.49","Completed","Refund"
"026-9025989-9896365","0UKg0ZcwSUyUz8zjmtHgfA","2025-05-16T19:19:22.031Z","GBP","47.29","Completed","Refund"
"026-1081790-8904354","qiphh8NFRUqJwzYSQe6KTA","2025-05-03T13:27:20.070Z","GBP","279.99","Completed","Refund"
"026-7574511-7503546","ReyXtPEuSvCxZL8U6h5xmQ","2025-04-29T22:48:06.156Z","GBP","4.99","Completed","Refund"
"204-4819062-7865968","dLkdv2fGRaOAiY3Eb/KiwQ","2025-04-28T14:08:19.917Z","GBP","25.98","Completed","Refund"
"204-9180674-5421147","nO6CZh4mRX+h5CSKyumsVg","2025-04-28T12:08:26.464Z","GBP","101.99","Completed","Refund"
"026-4170325-4083527","ZQC2x7XNQP+tOLqEzyQtcQ","2025-02-21T17:38:23.209Z","GBP","32.9","Completed","Refund"
"026-1260384-3559516","mrl/ymQKRaGoy9Kgbi001A","2024-09-19T19:48:03.158Z","GBP","16.36","Completed","Refund"
"026-4908972-7517165","CUvy9d5JQeGm42AhfDxw3w","2023-08-29T19:10:51.871Z","GBP","4.25","Completed","Refund"
"026-6962343-4499557","TTRzkboRTsaBkJMf5SENig","2023-07-21T13:54:16.856Z","GBP","27.99","Completed","Refund"
"026-2271976-2598751","0v4X7XtjQ9ybPXRjjcfoMg","2023-07-16T11:25:02.991Z","GBP","3.99","Completed","Refund"
"202-3966791-6620348","UqdW8xQDQ+6gDpy2wc70Tw","2023-03-15T20:21:57.751Z","GBP","67.74","Completed","Refund"
"205-5837970-5577112","tlGORjYsQeGU90+OcD1a3A","2022-12-19T21:45:17.636Z","GBP","8.99","Completed","Refund"
"205-9564668-6549941","/84Ih6feRve60Z0lWLCFFw","2022-11-28T18:23:23.404Z","GBP","35.99","Completed","Refund"
"205-0938816-0255512","62KJcS/qR0i7S3ly5116Xg","2022-11-28T17:53:20.457Z","GBP","31.99","Completed","Refund"
"026-9281789-7129159","ICeAvNlUR+qVSvXb8HLzvQ","2022-09-23T11:44:16.770Z","GBP","160","Completed","Refund"
"202-7377614-5277934","JD/aDehzTkq4Cgojlp/4PQ","2022-06-07T15:23:40.693Z","GBP","136","Completed","Refund"
